TITLE = "Visualization of Laplacian smoothing"
VARIABLES = "x", "y"
ZONE STRANDID=3, SOLUTIONTIME=3, DATAPACKING=BLOCK I=33, J=33
0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 0.53125 
0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 
0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 0.59375 
0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 
0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 0.65625 
0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 
0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 0.71875 
0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 
0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 0.78125 
0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 
0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 0.84375 
0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 
